Equipo,Edad
Ukraine,25.909142212189618
Ukraine-1,25.666666666666668
Ukraine-2,21.545454545454547
Umberta V,24.0
Unified Team,24.881739130434784
Unified Team-1,26.0
Unified Team-2,26.083333333333332
Unified Team-3,21.25
Union des Socits Franais de Sports Athletiques,28.444444444444443
Unique,33.333333333333336
United Arab Emirates,26.097560975609756
United Arab Republic,25.113636363636363
United Republic of Tanzania,45.5
United States,25.916576381365115
United States Virgin Islands,29.0
United States Virgin Islands-1,31.0
United States Virgin Islands-2,33.54545454545455
United States of America,29.911392405063292
United States-1,28.174107142857142
United States-2,28.25
United States-3,24.886363636363637
United States-4,23.0
United States-8,28.0
United States/France,17.0
Univ. of Brussels,19.0
Upton Park FC,23.857142857142858
Uragan,25.0
Uruguay,25.4696261682243
Uzbekistan,24.412280701754387
Uzbekistan-1,20.5
Uzbekistan-2,22.5
Vanuatu,24.225806451612904
Vaxholm Roddklubb,25.4
Venezuela,25.474269819193324
Venilia,33.0
Vento Sul,36.5
Vesania,27.5
Vesper Boat Club,25.235294117647058
Vicking,31.5
Vietnam,24.861538461538462
Viking,34.0
Viktoriya,38.333333333333336
Vim III,32.5
Vinga-1,31.8
Vinha,30.5
"Virgin Islands, US",20.0
Virginie,36.666666666666664
Vision,36.5
Voloira II,42.333333333333336
Wales-4,25.555555555555557
Wannsee,27.5
Web II,28.666666666666668
Web III,33.333333333333336
Wendehals,22.0
West Germany,24.997181775481447
West Germany-1,27.414634146341463
West Germany-2,26.121951219512194
West Germany-3,20.0
West Indies Federation,27.181818181818183
Western Golf Association-1,18.0
Western Rowing Club-3,31.0
Whirlaway,26.5
White Lady,39.0
Widgeon,34.0
Wiking,34.8
Willem-Six,26.0
Windor,51.0
Winnipeg Shamrocks-1,26.25
Wolseley-Siddeley-1,33.333333333333336
Xantippa,44.0
Xolotl,36.333333333333336
Yangon,44.0
Yemen,22.0
Yeoman,33.75
Yeoman V,37.666666666666664
Yeoman VII,25.0
Yeoman XII,32.0
Ylliam II,34.6
Ylliam VII,38.5
Ylliam VIII,38.0
Yugoslavia,24.5428027901078
Yugoslavia-1,26.0
Yugoslavia-2,25.3
Zambia,23.562043795620436
Zefyros,35.5
Zimbabwe,25.969565217391306
Zut,32.0
rn-2,29.2
