Nombre,Genero,Medallas
Gustavo Adolfo Somohano Winfield,Masculino,0
Gustavo Chapela,Masculino,0
Gustavo Delgado,Masculino,0
Gustavo Huet Bobadilla,Masculino,1
Gustavo Lozano,Masculino,0
Gustavo Olgun Rodrigo,Masculino,0
Gustavo Ramos Hernndez Leyva,Masculino,0
Gustavo Salcedo Islas,Masculino,0
Gustavo Salinas,Masculino,0
Gustavo Zepeda Carranza,Masculino,0
HERNANDEZ GODINEZ Mayra Alejandra,Female,0
HERNANDEZ HERNANDEZ Jesus,Male,1
HERNANDEZ TORRES Karina Amayrani,Female,0
Hctor Abaunza,Masculino,0
Hctor Aizpuro,Masculino,0
Hctor Alvarez Ayala,Masculino,0
Hctor Elizondo Najera,Masculino,0
Hctor Fernando Bustamante Vega,Masculino,0
Hctor Guerrero Delgado,Masculino,0
Hctor Lpez Coln,Masculino,1
Hctor Miguel Herrera Lpez,Masculino,1
Hctor Prez,Masculino,0
Hctor Pulido Rodrguez,Masculino,0
Hctor Rodrguez,Masculino,0
Hctor Sanabria,Masculino,0
Hctor Tapia Garca,Masculino,0
Hctor Ventura Rodrguez,Masculino,0
Hctor Zatarain Romano,Masculino,0
Hector Hugo Zamarron Rangel,Masculino,0
Heike Koerner Romo,Femenino,0
Helen Plaschinski Farca,Femenino,0
Helga Diederichsen Schonbude,Femenino,0
Heraclio Eder Snchez Tern,Masculino,0
Heriberto Anguiano de la Fuente,Masculino,0
Heriberto Daz Ornelas,Masculino,0
Herman Adam Negrete,Masculino,0
Hermann Mergenthaler Hall,Masculino,0
Hermelindo Soto Lpez,Masculino,0
Hermilo Leal Lara,Masculino,0
Herminio F. Ahumada Ortiz,Masculino,0
Hernn Andrade Yaez,Masculino,0
Hilda Amezaga Harfuch,Femenino,0
Hilda Gaxiola Alvrez,Femenino,0
Hiram Ricardo Mier Alans,Masculino,1
Hirving Rodrigo Lozano Bahena,Masculino,0
Homero Laddaga Zozaya,Masculino,0
Horacio Flores Flores,Masculino,0
Horacio Nava Reza,Masculino,0
Horacio Snchez Mrquez,Masculino,0
Horacio de la Vega Flores,Masculino,0
Hubertus Rudolph von Frstenberg-von Hohenlohe-Langenburg,Masculino,0
Hugo Banda Bernal,Masculino,0
