Equipo,Juegos,Año,Medalla_Oro
Belgium-1,1920 Verano,1920-01-01,0
Belgium-1,1924 Invierno,1924-01-01,0
Belgium-1,1924 Verano,1924-01-01,0
Belgium-1,1928 Invierno,1928-01-01,0
Belgium-1,1932 Invierno,1932-01-01,0
Belgium-1,1936 Invierno,1936-01-01,0
Belgium-1,1948 Invierno,1948-01-01,0
Belgium-1,1952 Invierno,1952-01-01,0
Belgium-2,1900 Verano,1900-01-01,0
Belgium-2,1920 Verano,1920-01-01,0
Belgium-2,1924 Verano,1924-01-01,0
Belgium-2,1928 Invierno,1928-01-01,0
Belgium-2,1932 Invierno,1932-01-01,0
Belgium-2,1936 Invierno,1936-01-01,0
Belgium-2,1948 Invierno,1948-01-01,0
Belgium-2,1952 Invierno,1952-01-01,0
Belgium-3,1920 Verano,1920-01-01,0
Belgium-4,1920 Verano,1920-01-01,0
Belize,1968 Verano,1968-01-01,0
Belize,1972 Verano,1972-01-01,0
Belize,1976 Verano,1976-01-01,0
Belize,1984 Verano,1984-01-01,0
Belize,1988 Verano,1988-01-01,0
Belize,1992 Verano,1992-01-01,0
Belize,1996 Verano,1996-01-01,0
Belize,2000 Verano,2000-01-01,0
Belize,2004 Verano,2004-01-01,0
Belize,2008 Verano,2008-01-01,0
Belize,2012 Verano,2012-01-01,0
Belize,2016 Verano,2016-01-01,0
Bella,1960 Verano,1960-01-01,0
Bellatrix IX,1960 Verano,1960-01-01,0
Bellatrix XIII,1964 Verano,1964-01-01,0
Bem II,1936 Verano,1936-01-01,0
Bem II,1952 Verano,1952-01-01,0
Benin,1972 Verano,1972-01-01,0
Benin,1980 Verano,1980-01-01,0
Benin,1984 Verano,1984-01-01,0
Benin,1988 Verano,1988-01-01,0
Benin,1992 Verano,1992-01-01,0
Benin,1996 Verano,1996-01-01,0
Benin,2000 Verano,2000-01-01,0
Benin,2004 Verano,2004-01-01,0
Benin,2008 Verano,2008-01-01,0
Benin,2012 Verano,2012-01-01,0
Benin,2016 Verano,2016-01-01,0
Benin,2020 Verano,2020-01-01,0
Bera,1924 Verano,1924-01-01,5
Berliner Ruderclub,1908 Verano,1908-01-01,0
Berliner Ruderclub Sport-Borussia-1,1912 Verano,1912-01-01,0
Berliner Ruderverein von 1876-2,1912 Verano,1912-01-01,0
Bermuda,1936 Verano,1936-01-01,0
Bermuda,1948 Verano,1948-01-01,0
Bermuda,1952 Verano,1952-01-01,0
Bermuda,1960 Verano,1960-01-01,0
Bermuda,1964 Verano,1964-01-01,0
Bermuda,1968 Verano,1968-01-01,0
Bermuda,1972 Verano,1972-01-01,0
Bermuda,1976 Verano,1976-01-01,0
Bermuda,1984 Verano,1984-01-01,0
Bermuda,1988 Verano,1988-01-01,0
Bermuda,1992 Invierno,1992-01-01,0
Bermuda,1992 Verano,1992-01-01,0
Bermuda,1994 Invierno,1994-01-01,0
Bermuda,1996 Verano,1996-01-01,0
Bermuda,1998 Invierno,1998-01-01,0
Bermuda,2000 Verano,2000-01-01,0
Bermuda,2002 Invierno,2002-01-01,0
Bermuda,2004 Verano,2004-01-01,0
Bermuda,2006 Invierno,2006-01-01,0
Bermuda,2008 Verano,2008-01-01,0
